User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,weighted_aov,r_score,f_score,m_score,rfm_score,value_proxy_score,segment_name,segment_name_cn,business_role,action_priority
#111,56.0,Male,Suburban,36029.0,Technology,13.0,8.0,161.0,4244.0,Books,508.0,25.0,FALSE,530.5,4,5,5,14,76.79,High-value Customers,高价值用户,Core profit engine,Stabilize
#112,58.0,Male,Urban,135281.0,Fashion,17.0,0.0,155.0,1268.0,Home & Kitchen,205.0,18.0,FALSE,0.0,3,1,2,6,17.71,Potential Customers,潜力用户,Growth engine,Convert
#113,45.0,Male,Suburban,34226.0,Technology,23.0,6.0,143.0,4264.0,Books,381.0,6.0,FALSE,710.67,2,4,5,11,70.88,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#114,24.0,Male,Urban,83646.0,Sports,8.0,5.0,38.0,3229.0,Apparel,73.0,18.0,TRUE,645.8,4,3,4,11,62.58,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#115,26.0,Male,Urban,80603.0,Food,21.0,7.0,135.0,3745.0,Home & Kitchen,516.0,16.0,FALSE,535.0,2,4,4,10,66.58,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#116,25.0,Male,Urban,48731.0,Food,2.0,4.0,162.0,2626.0,Health & Beauty,76.0,15.0,TRUE,656.5,5,3,3,11,56.99,Potential Customers,潜力用户,Growth engine,Convert
#117,29.0,Female,Urban,129458.0,Travel,5.0,0.0,192.0,2967.0,Books,77.0,48.0,FALSE,0.0,5,1,3,9,37.14,Potential Customers,潜力用户,Growth engine,Convert
#118,51.0,Female,Suburban,130384.0,Food,6.0,0.0,90.0,3616.0,Home & Kitchen,410.0,8.0,FALSE,0.0,5,1,4,10,42.24,Potential Customers,潜力用户,Growth engine,Convert
#119,50.0,Female,Urban,88926.0,Fashion,12.0,8.0,183.0,3467.0,Home & Kitchen,106.0,13.0,FALSE,433.38,4,5,4,13,67.26,High-value Customers,高价值用户,Core profit engine,Stabilize
#12,41.0,Male,Rural,108199.0,Food,22.0,2.0,14.0,3119.0,Electronics,166.0,15.0,FALSE,1559.5,2,2,4,8,53.86,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#120,40.0,Female,Urban,25997.0,Food,18.0,9.0,161.0,2294.0,Home & Kitchen,551.0,43.0,TRUE,254.89,3,5,3,11,53.88,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#121,41.0,Female,Suburban,75506.0,Travel,22.0,5.0,84.0,3655.0,Electronics,476.0,7.0,TRUE,731.0,2,3,4,9,62.45,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#122,54.0,Male,Suburban,98229.0,Sports,22.0,9.0,35.0,545.0,Books,275.0,17.0,TRUE,60.56,2,5,1,8,32.64,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#123,52.0,Male,Rural,69815.0,Sports,1.0,4.0,136.0,3726.0,Home & Kitchen,88.0,32.0,TRUE,931.5,5,3,4,12,69.11,Potential Customers,潜力用户,Growth engine,Convert
#124,61.0,Female,Suburban,62092.0,Food,17.0,0.0,124.0,4116.0,Books,77.0,22.0,FALSE,0.0,3,1,5,9,43.14,Potential Customers,潜力用户,Growth engine,Convert
#125,57.0,Male,Suburban,82539.0,Technology,11.0,5.0,135.0,3975.0,Home & Kitchen,77.0,13.0,FALSE,795.0,4,3,4,11,69.68,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#126,39.0,Female,Rural,86077.0,Sports,10.0,5.0,37.0,3437.0,Health & Beauty,442.0,47.0,TRUE,687.4,4,3,4,11,64.09,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#127,44.0,Female,Suburban,41817.0,Food,19.0,2.0,140.0,361.0,Health & Beauty,540.0,23.0,TRUE,180.5,2,2,1,5,16.38,Other Customers,其他用户,Long-tail users,Nurture
#128,52.0,Male,Suburban,57861.0,Travel,14.0,7.0,84.0,1948.0,Health & Beauty,245.0,29.0,TRUE,278.29,3,4,2,9,47.65,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#129,18.0,Male,Suburban,33428.0,Food,26.0,0.0,175.0,4125.0,Apparel,578.0,22.0,FALSE,0.0,1,1,5,7,40.14,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#13,53.0,Female,Rural,61321.0,Fashion,7.0,9.0,29.0,3781.0,Apparel,379.0,33.0,TRUE,420.11,5,5,4,14,74.51,High-value Customers,高价值用户,Core profit engine,Stabilize
#130,52.0,Male,Suburban,63934.0,Sports,10.0,0.0,198.0,2366.0,Home & Kitchen,382.0,1.0,TRUE,0.0,4,1,3,8,30.21,Potential Customers,潜力用户,Growth engine,Convert
#131,54.0,Female,Rural,135555.0,Travel,15.0,5.0,87.0,191.0,Apparel,570.0,29.0,TRUE,38.2,3,3,1,7,21.36,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#132,64.0,Male,Suburban,134367.0,Food,28.0,9.0,188.0,4322.0,Books,142.0,48.0,FALSE,480.22,1,5,5,11,73.84,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#133,31.0,Female,Suburban,30258.0,Fashion,19.0,0.0,99.0,4275.0,Apparel,368.0,5.0,TRUE,0.0,2,1,5,8,44.26,Potential Customers,潜力用户,Growth engine,Convert
#134,20.0,Female,Rural,77775.0,Travel,4.0,5.0,185.0,3409.0,Books,84.0,35.0,FALSE,681.8,5,3,4,12,65.66,High-value Customers,高价值用户,Core profit engine,Stabilize
#135,18.0,Female,Urban,101580.0,Fashion,2.0,0.0,30.0,1082.0,Books,143.0,10.0,FALSE,0.0,5,1,2,8,20.7,Potential Customers,潜力用户,Growth engine,Convert
#136,22.0,Male,Rural,114947.0,Technology,9.0,5.0,63.0,3543.0,Books,352.0,19.0,FALSE,708.6,4,3,4,11,65.82,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#137,43.0,Male,Urban,25469.0,Travel,10.0,2.0,193.0,2633.0,Apparel,545.0,37.0,FALSE,1316.5,4,2,3,9,53.33,Potential Customers,潜力用户,Growth engine,Convert
#138,31.0,Female,Rural,48854.0,Fashion,28.0,7.0,112.0,793.0,Home & Kitchen,152.0,7.0,FALSE,113.29,1,4,1,6,28.98,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#139,56.0,Male,Rural,26256.0,Sports,11.0,5.0,68.0,4220.0,Apparel,158.0,46.0,TRUE,844.0,4,3,5,12,72.8,High-value Customers,高价值用户,Core profit engine,Stabilize
#14,57.0,Female,Rural,142041.0,Fashion,29.0,7.0,88.0,1543.0,Apparel,139.0,41.0,TRUE,220.43,1,4,2,7,37.86,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#140,44.0,Male,Suburban,144086.0,Sports,14.0,0.0,81.0,255.0,Home & Kitchen,446.0,35.0,TRUE,0.0,3,1,1,5,8.74,Other Customers,其他用户,Long-tail users,Nurture
#141,26.0,Male,Urban,96256.0,Technology,7.0,4.0,188.0,3688.0,Home & Kitchen,303.0,45.0,FALSE,922.0,5,3,4,12,66.89,Potential Customers,潜力用户,Growth engine,Convert
#142,32.0,Female,Suburban,53937.0,Travel,23.0,7.0,29.0,1912.0,Books,450.0,13.0,FALSE,273.14,2,4,2,8,43.87,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#143,32.0,Female,Urban,119134.0,Travel,15.0,2.0,121.0,4214.0,Apparel,224.0,10.0,TRUE,2107.0,3,2,5,10,67.32,Potential Customers,潜力用户,Growth engine,Convert
#144,43.0,Male,Rural,21651.0,Travel,22.0,5.0,68.0,1507.0,Home & Kitchen,43.0,2.0,TRUE,301.4,2,3,2,7,36.16,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#145,59.0,Female,Rural,70288.0,Technology,19.0,4.0,80.0,1316.0,Health & Beauty,264.0,6.0,FALSE,329.0,2,3,2,7,33.75,Potential Customers,潜力用户,Growth engine,Convert
#146,30.0,Male,Urban,104730.0,Travel,22.0,5.0,146.0,1510.0,Home & Kitchen,3.0,8.0,TRUE,302.0,2,3,2,7,36.27,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#147,49.0,Male,Suburban,45051.0,Sports,15.0,9.0,118.0,3597.0,Health & Beauty,268.0,36.0,TRUE,399.67,3,5,4,12,69.55,High-value Customers,高价值用户,Core profit engine,Stabilize
#148,56.0,Male,Suburban,47386.0,Fashion,28.0,0.0,138.0,4472.0,Apparel,596.0,25.0,FALSE,0.0,1,1,5,7,43.15,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#149,49.0,Male,Suburban,95054.0,Sports,24.0,6.0,166.0,4940.0,Apparel,16.0,44.0,TRUE,823.33,1,4,5,10,77.19,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#15,41.0,Male,Urban,122031.0,Travel,11.0,5.0,155.0,4296.0,Electronics,299.0,43.0,FALSE,859.2,4,3,5,12,73.86,High-value Customers,高价值用户,Core profit engine,Stabilize
#150,21.0,Female,Suburban,131562.0,Sports,8.0,8.0,65.0,651.0,Apparel,334.0,47.0,TRUE,81.38,4,5,1,10,36.55,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#151,47.0,Female,Rural,36184.0,Fashion,11.0,1.0,44.0,3494.0,Home & Kitchen,464.0,40.0,TRUE,3494.0,4,1,4,9,60.14,Potential Customers,潜力用户,Growth engine,Convert
#152,54.0,Female,Rural,53787.0,Sports,29.0,9.0,132.0,1276.0,Electronics,59.0,7.0,TRUE,141.78,1,5,2,8,39.22,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#153,40.0,Male,Rural,41621.0,Technology,9.0,4.0,140.0,4834.0,Home & Kitchen,177.0,46.0,FALSE,1208.5,4,3,5,12,78.47,Potential Customers,潜力用户,Growth engine,Convert
#154,56.0,Male,Rural,95564.0,Fashion,15.0,9.0,113.0,4432.0,Home & Kitchen,63.0,23.0,TRUE,492.44,3,5,5,13,80.04,High-value Customers,高价值用户,Core profit engine,Stabilize
#155,62.0,Male,Rural,97984.0,Sports,1.0,3.0,16.0,1097.0,Books,561.0,19.0,FALSE,365.67,5,2,2,9,35.91,Potential Customers,潜力用户,Growth engine,Convert
#156,32.0,Female,Suburban,79792.0,Food,1.0,5.0,36.0,4176.0,Books,307.0,46.0,TRUE,835.2,5,3,5,13,75.56,High-value Customers,高价值用户,Core profit engine,Stabilize
#157,60.0,Male,Suburban,65253.0,Sports,19.0,5.0,10.0,2831.0,Home & Kitchen,246.0,22.0,FALSE,566.2,2,3,3,8,54.25,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#158,46.0,Female,Suburban,54051.0,Technology,3.0,1.0,181.0,4037.0,Health & Beauty,289.0,13.0,FALSE,4037.0,5,1,4,10,68.08,Potential Customers,潜力用户,Growth engine,Convert
#159,53.0,Female,Suburban,69811.0,Travel,10.0,1.0,96.0,4152.0,Books,332.0,21.0,TRUE,4152.0,4,1,5,10,67.28,Potential Customers,潜力用户,Growth engine,Convert
#16,20.0,Male,Urban,85095.0,Sports,22.0,9.0,120.0,3110.0,Apparel,276.0,45.0,TRUE,345.56,2,5,4,11,61.68,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#160,30.0,Female,Rural,50447.0,Sports,8.0,3.0,50.0,472.0,Home & Kitchen,527.0,1.0,FALSE,157.33,4,2,1,7,23.62,Other Customers,其他用户,Long-tail users,Nurture
#161,49.0,Female,Rural,148046.0,Travel,15.0,0.0,132.0,2348.0,Electronics,255.0,19.0,FALSE,0.0,3,1,3,7,28.02,Potential Customers,潜力用户,Growth engine,Convert
#162,24.0,Female,Rural,103930.0,Food,10.0,8.0,84.0,948.0,Health & Beauty,510.0,33.0,FALSE,118.5,4,5,1,10,39.67,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#163,39.0,Female,Urban,143278.0,Sports,1.0,6.0,51.0,2656.0,Apparel,463.0,4.0,FALSE,442.67,5,4,3,12,59.41,High-value Customers,高价值用户,Core profit engine,Stabilize
#164,45.0,Male,Suburban,120037.0,Fashion,29.0,6.0,126.0,2422.0,Home & Kitchen,199.0,42.0,FALSE,403.67,1,4,3,8,46.8,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#165,19.0,Male,Suburban,50254.0,Travel,18.0,2.0,170.0,603.0,Home & Kitchen,271.0,3.0,TRUE,301.5,3,2,1,6,21.2,Other Customers,其他用户,Long-tail users,Nurture
#166,59.0,Female,Rural,104045.0,Food,2.0,2.0,187.0,3289.0,Health & Beauty,558.0,27.0,FALSE,1644.5,5,2,4,11,62.3,Potential Customers,潜力用户,Growth engine,Convert
#167,62.0,Female,Suburban,136859.0,Fashion,19.0,0.0,72.0,802.0,Books,64.0,41.0,FALSE,0.0,2,1,1,4,12.22,Other Customers,其他用户,Long-tail users,Nurture
#168,23.0,Male,Suburban,77418.0,Fashion,13.0,2.0,174.0,3725.0,Books,230.0,35.0,TRUE,1862.5,4,2,4,10,62.79,Potential Customers,潜力用户,Growth engine,Convert
#169,45.0,Female,Rural,134534.0,Fashion,22.0,2.0,196.0,414.0,Books,249.0,28.0,TRUE,207.0,2,2,1,5,16.2,Other Customers,其他用户,Long-tail users,Nurture
#17,39.0,Female,Rural,42656.0,Food,24.0,8.0,11.0,672.0,Books,178.0,26.0,FALSE,84.0,1,5,1,7,31.03,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#170,45.0,Female,Urban,34472.0,Fashion,1.0,3.0,136.0,2476.0,Apparel,246.0,6.0,FALSE,825.33,5,2,3,10,54.96,Potential Customers,潜力用户,Growth engine,Convert
#171,61.0,Male,Urban,131193.0,Sports,2.0,3.0,185.0,1140.0,Health & Beauty,587.0,6.0,TRUE,380.0,5,2,2,9,36.22,Potential Customers,潜力用户,Growth engine,Convert
#172,61.0,Female,Urban,23471.0,Sports,29.0,2.0,142.0,4478.0,Health & Beauty,157.0,44.0,TRUE,2239.0,1,2,5,8,65.6,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#173,37.0,Female,Rural,127332.0,Sports,16.0,9.0,57.0,3090.0,Books,564.0,23.0,TRUE,343.33,3,5,4,12,63.73,High-value Customers,高价值用户,Core profit engine,Stabilize
#174,47.0,Female,Suburban,140312.0,Food,15.0,7.0,12.0,357.0,Books,88.0,33.0,TRUE,51.0,3,4,1,8,28.22,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#175,28.0,Male,Rural,143379.0,Food,13.0,7.0,125.0,674.0,Electronics,313.0,16.0,TRUE,96.29,4,4,1,9,33.0,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#176,45.0,Male,Rural,115804.0,Food,16.0,0.0,184.0,4769.0,Electronics,66.0,24.0,TRUE,0.0,3,1,5,9,49.79,Potential Customers,潜力用户,Growth engine,Convert
#177,42.0,Male,Suburban,28329.0,Technology,17.0,6.0,199.0,1652.0,Home & Kitchen,20.0,5.0,FALSE,275.33,3,4,2,9,41.7,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#178,56.0,Female,Urban,54865.0,Food,21.0,1.0,108.0,4618.0,Home & Kitchen,33.0,41.0,FALSE,4618.0,2,1,5,8,68.06,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#179,50.0,Female,Urban,66850.0,Sports,29.0,0.0,125.0,857.0,Health & Beauty,558.0,42.0,TRUE,0.0,1,1,1,3,9.2,Other Customers,其他用户,Long-tail users,Nurture
#18,19.0,Male,Suburban,75147.0,Technology,4.0,9.0,102.0,1432.0,Apparel,354.0,16.0,FALSE,159.11,5,5,2,12,49.44,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#180,18.0,Male,Rural,74220.0,Sports,29.0,2.0,23.0,2910.0,Health & Beauty,73.0,13.0,TRUE,1455.0,1,2,3,6,49.59,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#181,44.0,Female,Urban,132234.0,Technology,7.0,3.0,121.0,1204.0,Apparel,343.0,47.0,FALSE,401.33,5,2,2,9,35.9,Potential Customers,潜力用户,Growth engine,Convert
#182,30.0,Female,Rural,113808.0,Technology,24.0,5.0,70.0,4624.0,Apparel,133.0,12.0,TRUE,924.8,1,3,5,9,72.57,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#183,58.0,Female,Rural,128381.0,Food,26.0,9.0,168.0,3559.0,Electronics,55.0,5.0,FALSE,395.44,1,5,4,10,65.08,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#184,20.0,Female,Suburban,26397.0,Travel,17.0,4.0,104.0,4092.0,Home & Kitchen,61.0,37.0,TRUE,1023.0,3,3,5,11,67.84,Potential Customers,潜力用户,Growth engine,Convert
#185,56.0,Female,Suburban,117909.0,Technology,7.0,3.0,26.0,303.0,Electronics,520.0,31.0,FALSE,101.0,5,2,1,8,21.09,Other Customers,其他用户,Long-tail users,Nurture
#186,23.0,Male,Suburban,149004.0,Fashion,13.0,7.0,133.0,2875.0,Electronics,272.0,28.0,FALSE,410.71,4,4,3,11,59.48,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#187,25.0,Female,Rural,55525.0,Sports,5.0,3.0,33.0,2432.0,Home & Kitchen,246.0,28.0,TRUE,810.67,5,2,3,10,53.37,Potential Customers,潜力用户,Growth engine,Convert
#188,44.0,Male,Suburban,73072.0,Fashion,26.0,9.0,125.0,2092.0,Apparel,176.0,30.0,TRUE,232.44,1,5,3,9,48.56,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#189,26.0,Female,Urban,110106.0,Sports,17.0,1.0,160.0,2343.0,Home & Kitchen,317.0,18.0,TRUE,2343.0,3,1,3,7,47.45,Potential Customers,潜力用户,Growth engine,Convert
#19,41.0,Male,Rural,111396.0,Travel,28.0,3.0,22.0,4853.0,Health & Beauty,154.0,36.0,FALSE,1617.67,1,2,5,8,70.5,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#190,54.0,Male,Urban,103820.0,Sports,3.0,2.0,91.0,406.0,Books,131.0,44.0,TRUE,203.0,5,2,1,8,22.48,Other Customers,其他用户,Long-tail users,Nurture
#191,50.0,Female,Rural,104530.0,Technology,7.0,5.0,59.0,1787.0,Books,102.0,27.0,FALSE,357.4,5,3,2,10,45.48,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#192,59.0,Male,Rural,43284.0,Technology,26.0,7.0,88.0,4209.0,Books,310.0,35.0,TRUE,601.29,1,4,5,10,70.09,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#193,61.0,Female,Suburban,81330.0,Fashion,17.0,7.0,88.0,1960.0,Health & Beauty,292.0,26.0,FALSE,280.0,3,4,2,9,46.73,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#194,41.0,Male,Rural,103369.0,Sports,7.0,8.0,79.0,2061.0,Apparel,495.0,39.0,TRUE,257.62,5,5,2,12,52.87,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#195,32.0,Female,Rural,45122.0,Fashion,21.0,6.0,36.0,822.0,Apparel,361.0,49.0,FALSE,137.0,2,4,1,7,29.87,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#196,49.0,Male,Urban,90553.0,Travel,1.0,1.0,24.0,879.0,Health & Beauty,338.0,18.0,TRUE,879.0,5,1,1,7,35.81,Other Customers,其他用户,Long-tail users,Nurture
#197,49.0,Female,Urban,101906.0,Fashion,17.0,7.0,59.0,628.0,Electronics,579.0,33.0,TRUE,89.71,3,4,1,8,30.84,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#198,41.0,Male,Suburban,114788.0,Food,17.0,6.0,45.0,4993.0,Books,10.0,25.0,FALSE,832.17,3,4,5,12,80.57,High-value Customers,高价值用户,Core profit engine,Stabilize
#199,58.0,Male,Rural,82812.0,Fashion,11.0,7.0,17.0,443.0,Books,49.0,31.0,TRUE,63.29,4,4,1,9,30.72,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#2,46.0,Female,Rural,103986.0,Technology,15.0,7.0,118.0,320.0,Electronics,432.0,40.0,FALSE,45.71,3,4,1,8,27.65,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#20,61.0,Male,Suburban,69666.0,Technology,15.0,7.0,13.0,4102.0,Books,201.0,33.0,FALSE,586.0,3,4,5,12,72.88,High-value Customers,高价值用户,Core profit engine,Stabilize
#200,29.0,Female,Rural,27999.0,Food,25.0,2.0,88.0,3886.0,Electronics,487.0,37.0,TRUE,1943.0,1,2,4,7,59.96,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#201,56.0,Female,Urban,42436.0,Food,27.0,6.0,140.0,3782.0,Home & Kitchen,321.0,2.0,TRUE,630.33,1,4,4,9,63.48,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#202,19.0,Male,Rural,62963.0,Food,29.0,9.0,199.0,308.0,Home & Kitchen,569.0,33.0,TRUE,34.22,1,5,1,7,27.39,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#203,20.0,Female,Urban,22096.0,Travel,3.0,8.0,56.0,4836.0,Apparel,133.0,39.0,TRUE,604.5,5,5,5,15,86.45,High-value Customers,高价值用户,Core profit engine,Stabilize
#204,54.0,Male,Suburban,149940.0,Fashion,15.0,2.0,114.0,3506.0,Health & Beauty,583.0,43.0,FALSE,1753.0,3,2,4,9,60.01,Potential Customers,潜力用户,Growth engine,Convert
#205,34.0,Male,Urban,133737.0,Fashion,29.0,9.0,107.0,1411.0,Apparel,83.0,43.0,TRUE,156.78,1,5,2,8,40.43,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#206,19.0,Male,Rural,45279.0,Travel,21.0,5.0,105.0,2399.0,Home & Kitchen,57.0,32.0,FALSE,479.8,2,3,3,8,48.35,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#207,19.0,Female,Suburban,141092.0,Sports,11.0,1.0,198.0,3436.0,Electronics,376.0,18.0,TRUE,3436.0,4,1,4,9,59.49,Potential Customers,潜力用户,Growth engine,Convert
#208,45.0,Male,Urban,128899.0,Technology,26.0,1.0,169.0,2047.0,Apparel,349.0,17.0,TRUE,2047.0,1,1,2,4,40.97,Potential Customers,潜力用户,Growth engine,Convert
#209,40.0,Male,Urban,134245.0,Fashion,28.0,4.0,125.0,1019.0,Books,271.0,34.0,FALSE,254.75,1,3,1,5,25.63,Potential Customers,潜力用户,Growth engine,Convert
#21,47.0,Female,Suburban,102368.0,Travel,1.0,9.0,179.0,3234.0,Home & Kitchen,115.0,20.0,TRUE,359.33,5,5,4,14,70.14,High-value Customers,高价值用户,Core profit engine,Stabilize
#210,54.0,Female,Suburban,46201.0,Technology,16.0,4.0,22.0,2144.0,Books,483.0,39.0,FALSE,536.0,3,3,3,9,46.38,Potential Customers,潜力用户,Growth engine,Convert
#211,49.0,Female,Suburban,39715.0,Travel,25.0,6.0,10.0,518.0,Electronics,111.0,7.0,FALSE,86.33,1,4,1,6,24.32,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#212,50.0,Female,Urban,49309.0,Sports,22.0,1.0,43.0,1849.0,Home & Kitchen,76.0,42.0,FALSE,1849.0,2,1,2,5,40.4,Potential Customers,潜力用户,Growth engine,Convert
#213,18.0,Female,Rural,35078.0,Sports,28.0,6.0,199.0,2942.0,Books,158.0,35.0,FALSE,490.33,1,4,3,8,53.88,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#214,36.0,Male,Urban,76614.0,Sports,9.0,4.0,88.0,1199.0,Books,532.0,30.0,TRUE,299.75,4,3,2,9,35.48,Potential Customers,潜力用户,Growth engine,Convert
#215,19.0,Male,Suburban,25105.0,Travel,24.0,5.0,87.0,3492.0,Health & Beauty,329.0,12.0,FALSE,698.4,1,3,4,8,59.61,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#216,61.0,Male,Urban,137666.0,Food,24.0,7.0,130.0,2872.0,Apparel,122.0,35.0,FALSE,410.29,1,4,3,8,55.28,Churn-risk Customers,流失风险用户,Dormant premium assets,Recover
#217,43.0,Male,Suburban,114848.0,Food,1.0,9.0,102.0,2580.0,Home & Kitchen,41.0,11.0,TRUE,286.67,5,5,3,13,63.07,High-value Customers,高价值用户,Core profit engine,Stabilize
